ticker,company_name,issue_type,severity,detail,signal_category,signal_headline,chunk_id,accession_number,source_document_url,human_disposition,review_notes
APLD,Applied Digital Corporation,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001144879-25-000021,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm,,
APLD,Applied Digital Corporation,signal_evidence_unverified,error,quote_not_found:coreweave leases 250 mw at polaris forge 1,partnership_or_mna,CoreWeave leases 250 MW at Polaris Forge 1,APLD_000114487925000021_document_item_7_mdna_3,0001144879-25-000021,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm,,
APLD,Applied Digital Corporation,signal_evidence_unverified,warning,quote_not_found:significant net loss and interest expense reported,liquidity_and_balance_sheet,Significant net loss and interest expense reported,APLD_000114487925000021_document_item_7_mdna_23,0001144879-25-000021,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm,,
ARM,Arm Holdings plc,signal_evidence_unverified,error,quote_not_found:top five customers account for over half of total revenue,customer_concentration,Top five customers account for over half of total revenue,ARM_000197323926000097_document_item_5_operating_review_34,0001973239-26-000097,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,,
ARM,Arm Holdings plc,signal_evidence_unverified,error,quote_not_found:prc revenue exposure faces trade and national security risks,regulatory_or_geopolitical,PRC revenue exposure faces trade and national security risks,ARM_000197323926000097_document_item_5_operating_review_44,0001973239-26-000097,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,,
ARM,Arm Holdings plc,signal_evidence_unverified,error,quote_not_found:production silicon introduces foundry dependency and capital intensity,capacity_and_supply,Production silicon introduces foundry dependency and capital intensity,ARM_000197323926000097_document_item_5_operating_review_11,0001973239-26-000097,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,,
ARM,Arm Holdings plc,signal_evidence_unverified,warning,quote_not_found:arm commits 100 million to third party semiconductor supply,capital_allocation,Arm commits $100 million to third-party semiconductor supply,ARM_000197323926000097_document_item_5_operating_review_21,0001973239-26-000097,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,,
ASML,ASML Holding N.V.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,,
ASML,ASML Holding N.V.,high_importance_profile_unverified,error,5,,,,0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,,
ASML,ASML Holding N.V.,signal_evidence_unverified,warning,quote_not_found:us affiliates rule suspended until november 2026,regulatory_or_geopolitical,US Affiliates Rule Suspended Until November 2026,ASML_000162828026011378_document_full_filing_107,0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,,
ASML,ASML Holding N.V.,signal_evidence_unverified,error,quote_not_found:asml invests 1 3 billion in mistral ai,partnership_or_mna,ASML Invests €1.3 Billion in Mistral AI,ASML_000162828026011378_document_full_filing_279,0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,,
ASML,ASML Holding N.V.,signal_evidence_unverified,error,quote_not_found:euv system sales increased to 48 units in 2025,capacity_and_supply,EUV System Sales Increased to 48 Units in 2025,ASML_000162828026011378_document_full_filing_259,0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,,
ASML,ASML Holding N.V.,parser_fallback_or_warning,warning,target_sections_not_found_using_full_filing,,,,0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,,
AVGO,Broadcom Inc.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,,
AVGO,Broadcom Inc.,high_importance_profile_unverified,error,4,,,,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,,
AVGO,Broadcom Inc.,signal_evidence_unverified,error,quote_not_found:net revenue grew to 63 9b with 68 gross margin,demand_and_revenue,Net revenue grew to $63.9B with 68% gross margin,AVGO_000173016825000121_document_item_7_mdna_18,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,,
AVGO,Broadcom Inc.,signal_evidence_unverified,warning,quote_not_found:sold euc business to kkr for 3 5 billion,partnership_or_mna,Sold EUC business to KKR for $3.5 billion,AVGO_000173016825000121_document_item_7_mdna_98,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,,
BA,Boeing Company,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,,
BA,Boeing Company,high_importance_profile_unverified,error,5,,,,0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,,
BA,Boeing Company,signal_evidence_unverified,error,quote_not_found:spirit aerosystems acquisition closed december 2025,partnership_or_mna,Spirit AeroSystems acquisition closed December 2025,BA_000162828026004357_document_item_7_mdna_164,0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,,
BA,Boeing Company,current_fact_contains_risk_language,warning,"Collectively, these tariffs, and any retaliatory actions taken by countries in response to the U.S. tariffs, could have a material impact on our financial position, results of operations and/or cash flows.",regulatory_or_geopolitical,Tariffs and trade restrictions impact financial position,BA_000162828026004357_document_item_7_mdna_33,0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,,
BA,Boeing Company,signal_evidence_unverified,error,quote_not_found:long term contract losses reduced operating earnings by 1 4b,pricing_and_margin,Long-term contract losses reduced operating earnings by $1.4B,BA_000162828026004357_document_item_7_mdna_78,0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,,
BA,Boeing Company,signal_evidence_unverified,warning,quote_not_found:commercial backlog stands at 567 3 billion,capacity_and_supply,Commercial backlog stands at $567.3 billion,BA_000162828026004357_document_item_7_mdna_29,0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,,
BE,Bloom Energy Corporation,current_fact_contains_risk_language,warning,secure telemetry connection that enables the RMCC to monitor system performance parameters in real time... undertake advanced predictive analytics to identify potential issues,technology_and_product,Remote monitoring and predictive analytics enhance service value proposition,BE_000162828026006516_document_full_filing_52,0001628280-26-006516,https://www.sec.gov/Archives/edgar/data/1664703/000162828026006516/be-20251231.htm,,
BE,Bloom Energy Corporation,parser_fallback_or_warning,warning,target_sections_not_found_using_full_filing,,,,0001628280-26-006516,https://www.sec.gov/Archives/edgar/data/1664703/000162828026006516/be-20251231.htm,,
CARR,Carrier Global Corporation,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001783180-26-000008,https://www.sec.gov/Archives/edgar/data/1783180/000178318026000008/carr-20251231.htm,,
CARR,Carrier Global Corporation,signal_evidence_unverified,warning,quote_not_found:carrier launches carrier quantumleap for data center cooling demands,technology_and_product,Carrier launches Carrier QuantumLeap for data center cooling demands,CARR_000178318026000008_document_item_1_business_8,0001783180-26-000008,https://www.sec.gov/Archives/edgar/data/1783180/000178318026000008/carr-20251231.htm,,
CAT,Caterpillar Inc.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0000018230-26-000008,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/cat-20251231.htm,,
CAT,Caterpillar Inc.,signal_evidence_unverified,warning,quote_not_found:strong cash position and operating cash flow generation,liquidity_and_balance_sheet,Strong cash position and operating cash flow generation,CAT_000001823026000008_document_item_7_mdna_30,0000018230-26-000008,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/cat-20251231.htm,,
CEG,Constellation Energy Corporation,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001868275-26-000032,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,,
CEG,Constellation Energy Corporation,high_importance_profile_unverified,error,4,,,,0001868275-26-000032,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,,
CEG,Constellation Energy Corporation,signal_evidence_unverified,error,quote_not_found:20 year ppa with microsoft for crane clean energy center restart,demand_and_revenue,20-year PPA with Microsoft for Crane Clean Energy Center restart,CEG_000186827526000032_document_item_1_business_5,0001868275-26-000032,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,,
CEG,Constellation Energy Corporation,signal_evidence_unverified,warning,quote_not_found:nuclear capacity factors outperform industry average by 4 percentage points,capacity_and_supply,Nuclear capacity factors outperform industry average by 4 percentage points,CEG_000186827526000032_document_item_1_business_5,0001868275-26-000032,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,,
CEG,Constellation Energy Corporation,signal_evidence_unverified,warning,quote_not_found:sanctions on russian uranium imports impact fuel supply chain,regulatory_or_geopolitical,Sanctions on Russian uranium imports impact fuel supply chain,CEG_000186827526000032_document_item_1_business_49,0001868275-26-000032,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,,
CIEN,Ciena Corporation,signal_evidence_unverified,error,quote_not_found:top cloud provider revenue share increased to 17 9,customer_concentration,Top cloud provider revenue share increased to 17.9%,CIEN_000162828025056698_document_item_7_mdna_8,0001628280-25-056698,https://www.sec.gov/Archives/edgar/data/936395/000162828025056698/cien-20251101.htm,,
CIEN,Ciena Corporation,signal_evidence_unverified,error,quote_not_found:fiscal 2025 revenue grew 18 8 to 4 77 billion,demand_and_revenue,Fiscal 2025 revenue grew 18.8% to $4.77 billion,CIEN_000162828025056698_document_item_7_mdna_8,0001628280-25-056698,https://www.sec.gov/Archives/edgar/data/936395/000162828025056698/cien-20251101.htm,,
CLS,Celestica Inc.,signal_evidence_unverified,warning,quote_not_found:2026 capital spending increases to support ai ml and hps program growth,capacity_and_supply,2026 capital spending increases to support AI/ML and HPS program growth,CLS_000103089426000011_document_item_7_mdna_19,0001030894-26-000011,https://www.sec.gov/Archives/edgar/data/1030894/000103089426000011/cls-20251231.htm,,
COHR,Coherent Corp.,accounting_identity_mismatch,warning,relative_mismatch=0.1665,,,,0000820318-25-000014,https://www.sec.gov/Archives/edgar/data/820318/000082031825000014/iivi-20250630.htm,,
COHR,Coherent Corp.,signal_evidence_unverified,warning,quote_not_found:znse manufacturing yields pose material supply risk,capacity_and_supply,ZnSe manufacturing yields pose material supply risk,COHR_000082031825000014_document_item_1a_risk_factors_33,0000820318-25-000014,https://www.sec.gov/Archives/edgar/data/820318/000082031825000014/iivi-20250630.htm,,
COHR,Coherent Corp.,signal_evidence_unverified,warning,quote_not_found:operating cash flow increased to 634 million in fiscal 2025,liquidity_and_balance_sheet,Operating cash flow increased to $634 million in fiscal 2025,COHR_000082031825000014_document_item_7_mdna_27,0000820318-25-000014,https://www.sec.gov/Archives/edgar/data/820318/000082031825000014/iivi-20250630.htm,,
CORZ,Core Scientific Inc.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001628280-26-013305,https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/core-20251231.htm,,
CORZ,Core Scientific Inc.,signal_evidence_unverified,error,quote_not_found:deferred colocation revenue reached 553 9 million,demand_and_revenue,Deferred colocation revenue reached $553.9 million,CORZ_000162828026013305_document_item_7_mdna_87,0001628280-26-013305,https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/core-20251231.htm,,
CORZ,Core Scientific Inc.,signal_evidence_unverified,error,quote_not_found:strategic shift to high density colocation for ai workloads,technology_and_product,Strategic shift to high-density colocation for AI workloads,CORZ_000162828026013305_document_item_1_business_2,0001628280-26-013305,https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/core-20251231.htm,,
CORZ,Core Scientific Inc.,signal_evidence_unverified,warning,quote_not_found:cash balance declined to 311 4 million in 2025,liquidity_and_balance_sheet,Cash balance declined to $311.4 million in 2025,CORZ_000162828026013305_document_item_7_mdna_71,0001628280-26-013305,https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/core-20251231.htm,,
COST,Costco Wholesale Corporation,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0000909832-25-000101,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/cost-20250831.htm,,
COST,Costco Wholesale Corporation,signal_evidence_unverified,warning,quote_not_found:costco increases capital expenditure guidance for fiscal 2026,capital_allocation,Costco increases capital expenditure guidance for fiscal 2026,COST_000090983225000101_document_item_7_mdna_58,0000909832-25-000101,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/cost-20250831.htm,,
CRDO,Credo Technology Group Holding Ltd,current_fact_contains_risk_language,warning,"The contra revenue impact associated with the Customer Warrant has been fully amortized as of May 3, 2025.",demand_and_revenue,Customer Warrant fully amortized,CRDO_000162828026043303_document_item_7_mdna_70,0001628280-26-043303,https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,,
CRDO,Credo Technology Group Holding Ltd,current_fact_contains_risk_language,warning,"Based on our review of our customers, we had no reserve for credit losses as of May 2, 2026 and May 3, 2025.",liquidity_and_balance_sheet,No reserve for credit losses,CRDO_000162828026043303_document_item_1a_risk_factors_32,0001628280-26-043303,https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,,
CRM,Salesforce Inc.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001108524-26-000060,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm,,
CRM,Salesforce Inc.,signal_evidence_unverified,warning,quote_not_found:reliance on third party cloud platforms and hardware vendors,supplier_or_infrastructure_dependency,Reliance on third-party cloud platforms and hardware vendors,CRM_000110852426000060_document_item_1a_risk_factors_1,0001108524-26-000060,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm,,
CVX,Chevron Corporation,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0000093410-26-000078,https://www.sec.gov/Archives/edgar/data/93410/000009341026000078/cvx-20251231.htm,,
CVX,Chevron Corporation,high_importance_profile_unverified,error,4,,,,0000093410-26-000078,https://www.sec.gov/Archives/edgar/data/93410/000009341026000078/cvx-20251231.htm,,
DDOG,Datadog Inc.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001628280-26-008819,https://www.sec.gov/Archives/edgar/data/1561550/000162828026008819/ddog-20251231.htm,,
DDOG,Datadog Inc.,signal_evidence_unverified,warning,quote_not_found:significant r d investment driving expense growth,capital_allocation,Significant R&D investment driving expense growth,DDOG_000162828026008819_document_item_7_mdna_13,0001628280-26-008819,https://www.sec.gov/Archives/edgar/data/1561550/000162828026008819/ddog-20251231.htm,,
DDOG,Datadog Inc.,signal_evidence_unverified,warning,quote_not_found:strong operating cash flow generation,liquidity_and_balance_sheet,Strong operating cash flow generation,DDOG_000162828026008819_document_item_7_mdna_16,0001628280-26-008819,https://www.sec.gov/Archives/edgar/data/1561550/000162828026008819/ddog-20251231.htm,,
DELL,Dell Technologies Inc.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001571996-26-000008,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/dell-20260130.htm,,
DELL,Dell Technologies Inc.,high_importance_profile_unverified,error,4,,,,0001571996-26-000008,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/dell-20260130.htm,,
DELL,Dell Technologies Inc.,signal_evidence_unverified,error,quote_not_found:ai mix shift reduces gross margin percentage despite volume growth,pricing_and_margin,AI mix shift reduces gross margin percentage despite volume growth,DELL_000157199626000008_document_item_7_mdna_113,0001571996-26-000008,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/dell-20260130.htm,,
DELL,Dell Technologies Inc.,signal_evidence_unverified,warning,unknown_chunk_id:reliance on single source suppliers for critical components,supplier_or_infrastructure_dependency,Reliance on single-source suppliers for critical components,DELL_000157199626000008_document_item_7_mdna_157199626000008_document_item_7_mdna_1,0001571996-26-000008,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/dell-20260130.htm,,
DLR,Digital Realty Trust Inc.,signal_evidence_unverified,warning,quote_not_found:81 billion capital raised since ipo supports expansion,capital_allocation,$81 billion capital raised since IPO supports expansion,DLR_000110465926015365_document_item_7_mdna_28,0001104659-26-015365,https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/dlr-20251231x10k.htm,,
EME,EMCOR Group Inc.,signal_evidence_unverified,error,quote_not_found:data center construction drives significant us mechanical segment revenue growth,demand_and_revenue,Data center construction drives significant US mechanical segment revenue growth,EME_000010563426000025_document_item_1_business_6,0000105634-26-000025,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/eme-20251231.htm,,
EME,EMCOR Group Inc.,signal_evidence_unverified,warning,quote_not_found:significant increase in m a activity and share repurchases in 2025,capital_allocation,Significant increase in M&A activity and share repurchases in 2025,EME_000010563426000025_document_item_1_business_26,0000105634-26-000025,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/eme-20251231.htm,,
EME,EMCOR Group Inc.,signal_evidence_unverified,warning,quote_not_found:divestiture of uk operations completed removing foreign currency exposure,capital_allocation,"Divestiture of UK operations completed, removing foreign currency exposure",EME_000010563426000025_document_item_1_business_24,0000105634-26-000025,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/eme-20251231.htm,,
EQIX,Equinix Inc.,signal_evidence_unverified,error,quote_not_found:power constraints and permitting delays hinder expansion,capacity_and_supply,Power constraints and permitting delays hinder expansion,EQIX_000110123926000032_document_item_1a_risk_factors_35,0001101239-26-000032,https://www.sec.gov/Archives/edgar/data/1101239/000110123926000032/eqix-20251231.htm,,
ETN,Eaton Corporation plc,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001551182-26-000007,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,,
ETN,Eaton Corporation plc,high_importance_profile_unverified,error,4,,,,0001551182-26-000007,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,,
ETN,Eaton Corporation plc,signal_evidence_unverified,error,quote_not_found:revolving credit facility upsized to 4b and term loan secured for boyd acquisition,liquidity_and_balance_sheet,Revolving credit facility upsized to $4B and term loan secured for Boyd acquisition,ETN_000155118226000007_document_item_7_mdna_107,0001551182-26-000007,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,,
ETN,Eaton Corporation plc,current_fact_contains_risk_language,warning,"On May 31, 2024, Eaton acquired a 49 percent stake in NordicEPOD AS, which designs and assembles standardized power modules for data centers in the Nordic region. Eaton accounts for this investment on the equity method...",technology_and_product,Acquisition of NordicEPOD AS for 49% stake in Nordic data center power modules,ETN_000155118226000007_document_item_7_mdna_75,0001551182-26-000007,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,,
ETN,Eaton Corporation plc,current_fact_contains_risk_language,warning,"Some of our suppliers have experienced the same conditions and, in response, have continued to increase their prices in response to increases in their costs of raw materials, energy, and/or labor. While we strive to recoup these increased c",pricing_and_margin,Inflationary pressures and supplier cost increases impact margins,ETN_000155118226000007_document_item_1a_risk_factors_3,0001551182-26-000007,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,,
FIX,Comfort Systems USA Inc.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001104659-26-017530,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/fix-20251231x10k.htm,,
FIX,Comfort Systems USA Inc.,signal_evidence_unverified,error,quote_not_found:acquisition of feyen zylstra and meisner expands electrical capacity,partnership_or_mna,Acquisition of Feyen Zylstra and Meisner expands electrical capacity,FIX_000110465926017530_document_item_7_mdna_146,0001104659-26-017530,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/fix-20251231x10k.htm,,
FIX,Comfort Systems USA Inc.,signal_evidence_unverified,error,quote_not_found:strong operating cash flow and available credit facility,liquidity_and_balance_sheet,Strong operating cash flow and available credit facility,FIX_000110465926017530_document_item_7_mdna_30,0001104659-26-017530,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/fix-20251231x10k.htm,,
FLNC,Fluence Energy Inc.,profile_evidence_unverified,warning,One or more profile quotes failed validation,,,,0001868941-25-000081,https://www.sec.gov/Archives/edgar/data/1868941/000186894125000081/flnc-20250930.htm,,
