ticker,company_name,primary_industry,strategic_domains,value_chain_roles,business_summary,products_services,end_markets,strategic_importance,strategic_importance_rationale,evidence_valid,evidence_failure_reasons,evidence_quotes,accession_number,source_document_url,human_label,review_notes
APLD,Applied Digital Corporation,cloud_and_data_centers,ai_compute | cloud_infrastructure | grid_and_power,infrastructure_operator | equipment_provider,"Applied Digital Corporation is a designer, developer, and operator of next-generation data center infrastructure in North America, providing energized space for crypto mining and high-performance computing (HPC) applications. The company operates two continuing segments: Data Center Hosting for crypto customers and HPC Hosting for AI and high-power density workloads.",Energized data center infrastructure services | Custom-designed data center space rental | HPC data center design and construction | Operational and maintenance services for customer hardware | High-power density GPU hosting facilities | Cloud computing equipment access (discontinued),High-performance computing (HPC) | Artificial intelligence (AI) | Crypto mining | Machine learning developers,2,"The company provides critical physical infrastructure for AI and HPC workloads, but its strategic importance is limited by high customer concentration (one customer representing 93% of revenue) and reliance on the volatile crypto mining sector for current cash flows.",False,quote_not_found,"We are a United States (""U.S."") designer, developer, and operator of next-generation data center infrastructure across North America. | We provide data center infrastructure solutions to the rapidly growing industries of high-performance computing (""HPC"") and artificial intelligence (""AI""). | We currently operate sites in Jamestown and Ellendale, North Dakota, with a total hosting capacity of approximately 286 MW. | One of such customers accounted for 93% of our revenue during fiscal year 2025.",0001144879-25-000021,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm,,
ARM,Arm Holdings plc,semiconductors,ai_compute | semiconductor_supply_chain | cloud_infrastructure,platform_provider | software_or_service_provider,"Arm Holdings plc is a semiconductor and software company that provides processor architecture, CPU designs, and related intellectual property licensed to other companies. The company is expanding its business model by developing and commercializing more integrated compute products, such as production silicon and complete chip solutions.",processor architecture | CPU designs | accelerator and related IP | production silicon products | Arm AGI CPU | compute subsystems (CSS) | chiplets | complete chip solutions,smartphones | consumer electronics | automotive | cloud and AI data centers | IoT | personal computers,5,"The company's compute platform is described as the ""leading independent processor technology licensable to other companies"" and is foundational to high-volume electronic devices in critical markets like smartphones and data centers, creating significant switching costs for customers.",True,,"We believe that our compute platform, including our architecture, CPU designs, and accelerator and related IP, is the leading independent processor technology licensable to other companies. | We currently generate a significant portion of our revenues from customers who incorporate our products into chips used in smartphones, consumer electronics and other embedded chips. | We are currently focused on growing our business in key areas such as automotive, cloud and AI data centers, IoT, personal computers and robotics. | We intend to continue allocating resources and engaging with our ecosystem partners to explore the viability and development of new products including... chiplets and complete chip solutions.",0001973239-26-000097,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,,
ASML,ASML Holding N.V.,semiconductors,semiconductor_supply_chain | ai_compute,equipment_provider,"ASML Holding N.V. provides holistic lithography solutions, including extreme ultraviolet (EUV) and deep ultraviolet (DUV) systems, to help microchip manufacturers print features on microchips. The company also offers software and services aligned with customer roadmaps for advanced to mainstream semiconductor nodes.",Extreme ultraviolet (EUV) lithography systems | Deep ultraviolet (DUV) immersion systems | Holistic lithography solutions | Software | Services,Microchip manufacturers | Chipmakers,5,"ASML holds a bottleneck position as the provider of EUV systems that 'make it possible to print the smallest features on microchips at the highest density' for 'the most advanced microchips,' with significant revenue concentration in key manufacturing hubs like China and Taiwan.",False,quote_not_found | quote_not_found,"Our EUV lithography systems make it possible to print the smallest features on microchips at the highest density, and are used for the most intricate, critical layers on the most advanced microchips. | ASML has been helping microchip manufacturers power technology forward since 1984. Our holistic lithography solutions, software and services help chipmakers achieve their highest | Customers in China represented 29.1% of our 2025 total net sales... who represented 25.5% of our 2025 total net sales [Taiwan]. | We are increasingly integrating artificial intelligence (AI) into our technology development, business operations, and the products and services we offer.",0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,,
AVGO,Broadcom Inc.,semiconductors,ai_compute | cloud_infrastructure | cybersecurity | enterprise_software | telecom_infrastructure,component_supplier | manufacturer | software_or_service_provider,"Broadcom Inc. is a global technology leader that designs, develops, and supplies semiconductor solutions and infrastructure software solutions. The company serves enterprise and AI data centers, networking, and various industrial and consumer markets through its semiconductor and infrastructure software segments.","semiconductor-based solutions | network interface cards (NICs) | modules, switches, and subsystems | AI racks or systems based on XPUs | private cloud software | mainframe software | cybersecurity software | FC SAN products",enterprise data centers | AI data centers | telecommunications | factory automation | government | home connectivity,4,"The company provides critical semiconductor and infrastructure software solutions for AI data centers and enterprise IT environments, with specific mention of selling AI racks and systems based on its XPUs.",False,quote_not_found,"Our semiconductor and semiconductor-based solutions include... network interface cards (“NICs”) and other modules, switches, subsystems and, in some cases, racks. | We are a global technology leader that designs, develops and supplies a broad range of semiconductor and semiconductor-based solutions and infrastructure software solutions. | Our solutions are used in a wide array of environments... such as enterprise and artificial intelligence (“AI”) data centers... Our infrastructure software solutions help enterprises simplify their information technology environments. | We seek to evolve our business strategy... such as the sale or leasing of AI racks or systems based on our XPUs... to effectively complete, which could have a material adverse effect on our revenue...",0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,,
BA,Boeing Company,aerospace_and_defense,aerospace | defense | cybersecurity,manufacturer | software_or_service_provider,"The Boeing Company is a global market leader in the design, development, manufacture, sale, service, and support of commercial jetliners, military aircraft, satellites, missile defense, and human space flight systems. It operates through three segments: Commercial Airplanes, Defense, Space & Security, and Global Services.",commercial jetliners | military aircraft | satellites | missile defense systems | human space flight and launch systems | maintenance and engineering services | training and professional services | digital solutions and analytics,commercial airline industry | U.S. government | foreign military sales | defense and intelligence | space exploration,5,"The company is one of only two major manufacturers of 100+ seat airplanes for the worldwide commercial airline industry and one of the largest defense contractors in the U.S., serving as a critical supplier to the U.S. military and global aviation infrastructure.",False,quote_not_found,"We are a global market leader in the design, development, manufacture, sale, service and support of commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems and services. | We are one of the two major manufacturers of 100+ seat airplanes for the worldwide commercial airline industry and one of the largest defense contractors in the U.S. | This segment develops, produces and markets commercial jet aircraft principally to the commercial airline industry worldwide. | This segment engages in the research, development, production and modification of manned and unmanned military aircraft and weapons systems for strike, surveillance and mobility.",0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,,
BE,Bloom Energy Corporation,energy_and_utilities,grid_and_power | energy_transition | ai_compute,manufacturer | equipment_provider,"Bloom Energy Corporation designs, manufactures, and deploys solid oxide fuel cell systems known as Energy Servers for distributed energy generation. The company also provides hydrogen production solutions and is expanding into carbon capture and microgrid technologies.",Energy Server systems | Distributed energy generation solutions | Hydrogen production solutions | Carbon capture options | Heat output systems | Microgrids | Batteries | CHP (Combined Heat and Power),"AI data centers | Enterprises | Distributors | International markets (Korea, Europe)",3,"The company is a supplier of distributed energy infrastructure critical to AI data center power needs, though its strategic importance is moderated by emerging market status and competition from traditional grid electricity.",True,,"Our AI customer mix is increasing due to the continued adoption of AI tools, and the resulting growth in AI data centers and their resulting power needs | incorporation of third party components into our solutions such as CHP, CCUS, microgrids, batteries, and other distributed energy resources | Distributed energy generation and hydrogen production are still emerging markets. | We rely on tax equity financing arrangements to realize the benefits provided by U.S. federal tax benefits and accelerated tax depreciation and we also rely on incentives in the Korean, European and other international markets.",0001628280-26-006516,https://www.sec.gov/Archives/edgar/data/1664703/000162828026006516/be-20251231.htm,,
CARR,Carrier Global Corporation,industrials_and_infrastructure,energy_transition | industrial_automation | grid_and_power,manufacturer | equipment_provider | software_or_service_provider,"Carrier Global Corporation is a global leader in intelligent climate and energy solutions, providing heating, cooling, ventilation, and cold chain products and services. The company serves residential, commercial, and transportation markets through a portfolio of industry-leading brands and digitally-enabled lifecycle solutions.",air conditioners and heat pumps | heating systems | home and building energy management systems | transport refrigeration and monitoring products | digital monitoring and modifications | repair and maintenance services | system integration | audit and design services,residential | commercial | data center | transportation | healthcare | education,3,"Carrier holds a significant competitive position in global climate and energy solutions, leveraging iconic brands and digital innovation to address secular trends like electrification and urbanization, though it faces competition and weather-related demand volatility.",False,quote_not_found,"Carrier Global Corporation is a global leader in intelligent climate and energy solutions with a focus on providing differentiated, digitally-enabled lifecycle solutions | Products and controls, services, and systems include air conditioners, heat pumps, heating systems, home and building energy management systems... aftermarket components, repair and maintenance services | We serve a wide range of customers, including in the residential, commercial, education, healthcare, technology, retail, hospitality, data center, and infrastructure markets | While our competitive position varies among our products and services, we are a significant competitor with respect to each of our major product and service offerings.",0001783180-26-000008,https://www.sec.gov/Archives/edgar/data/1783180/000178318026000008/carr-20251231.htm,,
CAT,Caterpillar Inc.,industrials_and_infrastructure,industrial_automation | energy_transition | grid_and_power,manufacturer | equipment_provider,"Caterpillar Inc. is the world’s leading manufacturer of construction and mining equipment, off-highway diesel and natural gas engines, industrial gas turbines, and diesel-electric locomotives. The company operates through segments including Resource Industries, Power & Energy, and Construction Industries, supported by a global dealer network and financing services.",construction and mining equipment | off-highway diesel and natural gas engines | industrial gas turbines | diesel-electric locomotives | autonomous machine capabilities | fleet management and equipment management analytics | generator sets | electrified powertrain and zero-emission power sources,mining | heavy construction | quarry and aggregates | oil and gas | power generation | marine and rail,3,"The company holds a leading position in manufacturing critical infrastructure and energy transition equipment, with strategic relevance driven by its integrated technology solutions and global dealer network, though it faces intense competition and regulatory pressures in these sectors.",False,quote_not_found,"Caterpillar Inc. is shaping the future as the world’s leading manufacturer of construction and mining equipment, off-highway diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. | The Resource Industries segment is primarily responsible for supporting customers using machinery in mining, heavy construction and quarry and aggregates. | Our Power & Energy segment supports customers in oil and gas, power generation, marine, rail and industrial applications. | In addition to equipment, Resource Industries sells technology products and services to provide customers fleet management, equipment management analytics, autonomous machine capabilities, safety services and mining performance solutions.",0000018230-26-000008,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/cat-20251231.htm,,
CEG,Constellation Energy Corporation,energy_and_utilities,grid_and_power | energy_transition | energy_security,infrastructure_operator | distributor_or_channel,"Constellation Energy Corporation is the nation's largest producer of clean energy and a leading supplier of energy products and services, operating a fleet of nuclear, wind, solar, natural gas, and hydroelectric assets. The company sells electricity, natural gas, and sustainable solutions to distribution utilities, municipalities, cooperatives, and commercial, industrial, public sector, and residential customers across multiple U.S. regions.",electricity | natural gas | sustainable solutions | Constellation Navigator platform | carbon accounting | rebate administration | energy efficiency audits | sustainability advisory services,distribution utilities | municipalities | cooperatives | commercial customers | industrial customers | public sector customers,4,"The company operates the largest emissions-free generation fleet in the nation and is positioned to meet growing electricity demand driven by data center growth and manufacturing onshoring, which represents a strategic opportunity for long-term growth.",False,quote_not_found,"We are the nation's largest producer of clean energy and a leading supplier of energy products and services. | We operate the largest emissions-free generation fleet in the nation and are one of the largest competitive electric generation companies in the nation. | This growing demand represents a natural and meaningful opportunity for long-term growth... rapid data center growth. | Constellation Navigator helps businesses solve challenges across the energy lifecycle including utility bill management, carbon accounting, rebate administration, energy efficiency audits, and sustainability advisory services.",0001868275-26-000032,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,,
CIEN,Ciena Corporation,telecommunications_and_networks,telecom_infrastructure | cloud_infrastructure | ai_compute,equipment_provider | software_or_service_provider,"Ciena Corporation is a network technology company providing hardware, software, and services to enhance network capacity, service delivery, and automation for cloud providers, service providers, and other network operators. Its solutions support network traffic across applications including cloud, voice, video, data, and AI.","Optical Networking products | Routing and Switching products | Platform Software | Platform Services | Blue Planet Automation Software | Blue Planet Services | Implementation services | Maintenance, support, and learning",Cloud providers | Service providers | Network operators,3,"The company experiences unprecedented demand driven by AI and cloud-based applications, with significant order growth and a large backlog, indicating its role in expanding network capacity for high-growth sectors.",True,,"Our industry has been experiencing unprecedented increases in demand, in particular as a result of expenditures related to AI and other cloud-based applications. | We are a network technology company, providing hardware, software, and services to a wide range of network operators and enabling enhanced network capacity, service delivery, and automation. | Networking Platforms revenue reflects sales of Ciena’s Optical Networking and Routing and Switching product lines. | Blue Planet Automation Software - includes inventory management, orchestration, route optimization and analysis, and unified assurance and analytics software.",0001628280-25-056698,https://www.sec.gov/Archives/edgar/data/936395/000162828025056698/cien-20251101.htm,,
CLS,Celestica Inc.,technology_hardware,ai_compute | cloud_infrastructure | semiconductor_supply_chain,manufacturer | equipment_provider | software_or_service_provider,"Celestica is a technology leader providing design, engineering, manufacturing, and supply chain solutions across two segments: Connectivity and Cloud Solutions (CCS) and Advanced Technology Solutions (ATS). The company enables critical data center infrastructure for AI and cloud computing while serving diversified end markets including aerospace, defense, industrial, and healthcare.",networking switches | optical systems | data center racks | servers and storage products | customized technology platforms | hardware design and development | electronics manufacturing and assembly | supply chain management and logistics,hyperscalers | cloud-based service providers | Aerospace and Defense | Industrial | HealthTech | Enterprise,4,"Celestica is strategically important as it enables critical data center infrastructure for AI and cloud computing, providing customized advanced hardware and systems-level solutions to hyperscalers and other key customers.",True,,"Celestica enables critical data center infrastructure for AI, cloud and hybrid cloud, and advances technologies in high-growth markets. | Products in our CCS segment consist predominantly of data communications and information processing infrastructure products and systems primarily used in hyperscale data centers. | In particular, hyperscalers have utilized our services to increase deployments of customized advanced hardware and systems-level solutions, in order to expand and optimize their data center infrastructure. | Our ATS segment consists of our ATS end market, and is comprised of our Aerospace and Defense (A&D), Industrial, HealthTech, and Capital Equipment businesses.",0001030894-26-000011,https://www.sec.gov/Archives/edgar/data/1030894/000103089426000011/cls-20251231.htm,,
COHR,Coherent Corp.,semiconductors,ai_compute | semiconductor_supply_chain | cloud_infrastructure,manufacturer | component_supplier | equipment_provider,"Coherent Corp. develops, manufactures, and markets lasers, transceivers, and other optical and optoelectronic devices, modules, and systems, as well as engineered materials, for use in communications, industrial, instrumentation, and electronics applications.","Transceivers, systems, subsystems, modules, components, optics, and semiconductor devices | Engineered materials, laser optics, thermoelectric components, and advanced ceramic and metal-matrix composite materials | VCSELs, EELs, pump lasers, high-power lasers for materials processing, and ICs | Excimer lasers, solid-state lasers, CO2 lasers, and laser systems | Laser systems and subsystems | Passive optics including isolators and transport equipment | High power lasers for semiconductor capital equipment and display manufacturing",Datacenter and communications applications | Semiconductor capital equipment | Display manufacturing | Precision manufacturing | Life sciences and scientific instrumentation | Aerospace and defense,4,"The company is a global leader in critical components for datacenters and semiconductor capital equipment, serving as a key supplier to the AI compute and cloud infrastructure supply chains.",True,,"Coherent develops, manufactures, and markets lasers, transceivers, and other optical and optoelectronic devices, modules, and systems, as well as engineered materials | The Networking segment leverages our compound semiconductor technology platforms... to deliver differentiated components, modules, and subsystems... for datacenter and communications applications. | The Materials segment is a market leader in engineered materials and optoelectronic devices, such as those based on ZnSe, ZnS, GaAs, InP, GaSb, and SiC. | The Lasers segment’s lasers and optics products serve industrial customers in both semiconductor and display capital equipment and precision manufacturing",0000820318-25-000014,https://www.sec.gov/Archives/edgar/data/820318/000082031825000014/iivi-20250630.htm,,
COP,ConocoPhillips,energy_and_utilities,energy_security | energy_transition,upstream_input_provider,"ConocoPhillips is an exploration and production company engaged in the development of reserves for crude oil, bitumen, natural gas, and NGLs across five geographic segments. The company operates a diverse, low-cost portfolio including unconventional plays in North America, conventional assets, global LNG developments, and oil sands in Canada.",crude oil | bitumen | natural gas | NGLs | LNG,domestic customers | Asia Pacific markets,1,"The company is a major upstream energy producer, but the filing does not disclose specific bottleneck potential or critical infrastructure control that would elevate its strategic importance beyond standard industry participation.",True,,"The exploration and production of crude oil, bitumen, natural gas and NGLs is a highly competitive business. | Our diverse, low cost of supply portfolio includes resource-rich unconventional plays in North America; conventional assets in North America, Europe, Africa and Asia; global LNG developments; oil sands in Canada | We manage our operations through five operating segments, which are primarily defined by geographic region: Alaska; Lower 48; Canada; Europe, Middle East and North Africa; and Asia Pacific. | APLNG is a joint venture focused on producing CBM from the Bowen and Surat basins in Queensland, Australia. Natural gas is sold to domestic customers and LNG is processed and exported to Asia Pacific markets.",0001163165-26-000009,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/cop-20251231.htm,,
