ticker,company_name,category,headline,modality,significance,statement,evidence_quote,evidence_valid,evidence_failure_reason,source_section,accession_number,source_document_url,review_bucket,human_label,review_notes
AVGO,Broadcom Inc.,demand_and_revenue,Net revenue grew to $63.9B with 68% gross margin,historical_fact,4,"Fiscal 2025 net revenue was $63,887 million with a gross margin of 68%, compared to $51,574 million and 63% margin in 2024.","Total net revenue 63,887... Gross margin 43,294... 68%... compared to... Total net revenue 51,574... Gross margin 32,509... 63%",False,quote_not_found,item_7_mdna,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,evidence_failed,,
CIEN,Ciena Corporation,customer_concentration,Top cloud provider revenue share increased to 17.9%,historical_fact,4,"Sales to a single cloud provider customer grew to $851.6 million, representing 17.9% of total fiscal 2025 revenue, up from 13.3% in fiscal 2024.","Sales to one cloud provider were $851.6 million, or 17.9% of total revenue in fiscal 2025 and $532.3 million or 13.3% of total revenue in fiscal 2024.",False,quote_not_found,item_7_mdna,0001628280-25-056698,https://www.sec.gov/Archives/edgar/data/936395/000162828025056698/cien-20251101.htm,evidence_failed,,
CIEN,Ciena Corporation,demand_and_revenue,Fiscal 2025 revenue grew 18.8% to $4.77 billion,historical_fact,4,"Total revenue increased to $4,769.5 million in fiscal 2025 from $4,015.0 million in fiscal 2024, driven by cloud and service provider demand.","Total revenue increased by $754.5 million, or 18.8%, from $4,014,955 in 2024 to $4,769,507 in 2025.",False,quote_not_found,item_7_mdna,0001628280-25-056698,https://www.sec.gov/Archives/edgar/data/936395/000162828025056698/cien-20251101.htm,evidence_failed,,
CORZ,Core Scientific Inc.,demand_and_revenue,Deferred colocation revenue reached $553.9 million,current_fact,4,"Deferred revenue from colocation services grew to $553.9 million by December 31, 2025, reflecting advance payments and customer funding for future colocation capacity delivery.","Balance at December 31, 2025: Deferred Revenue From Colocation Services $553,878 (in thousands).",False,quote_not_found,item_7_mdna,0001628280-26-013305,https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/core-20251231.htm,evidence_failed,,
CORZ,Core Scientific Inc.,technology_and_product,Strategic shift to high-density colocation for AI workloads,forward_looking,4,Core Scientific intends to convert every megawatt in its portfolio to high-density colocation infrastructure over the next three years to support AI and HPC workloads.,"We intend to convert every megawatt in our portfolio to high-density colocation infrastructure over the next three years, while continuing to digital asset mine during conversion only to meet existing power commitments.",False,quote_not_found,item_1_business,0001628280-26-013305,https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/core-20251231.htm,evidence_failed,,
DELL,Dell Technologies Inc.,pricing_and_margin,AI mix shift reduces gross margin percentage despite volume growth,current_fact,4,"Gross margin percentage decreased 220 basis points to 20.0% due to a shift in mix toward AI-optimized servers, partially offset by operating expense efficiencies.",Gross margin percentage... decreased 220 basis points to 20.0%... primarily due to an increase in ISG gross margin that was driven by growth in our servers and networking offerings,False,quote_not_found,item_7_mdna,0001571996-26-000008,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/dell-20260130.htm,evidence_failed,,
EME,EMCOR Group Inc.,demand_and_revenue,Data center construction drives significant US mechanical segment revenue growth,current_fact,4,"US mechanical construction segment revenues increased by $644.8 million year-over-year, primarily driven by greater demand for data center construction projects.","US mechanical construction and facilities services segment revenues for the year ended December 31, 2025 were $7.05 billion, a $644.8 million increase... experienced the most significant increase in revenues within the network and communications market sector due to greater demand for data center construction projects.",False,quote_not_found,item_1_business,0000105634-26-000025,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/eme-20251231.htm,evidence_failed,,
ETN,Eaton Corporation plc,liquidity_and_balance_sheet,Revolving credit facility upsized to $4B and term loan secured for Boyd acquisition,current_fact,4,Eaton upsized its revolving credit facility to $4 billion and entered into an $8 billion delayed-draw term loan facility to finance the Boyd Thermal acquisition.,"On February 6, 2026, a subsidiary of Eaton exercised a $1,000 million upsize of the existing $3,000 million five-year revolving credit agreement, increasing the total facility size to $4,000 million... entered into a senior unsecured delayed-draw term loan facility... in an aggregate principal amount of up to $8,000 million.",False,quote_not_found,item_7_mdna,0001551182-26-000007,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,evidence_failed,,
FIX,Comfort Systems USA Inc.,partnership_or_mna,Acquisition of Feyen Zylstra and Meisner expands electrical capacity,historical_fact,4,"Comfort Systems USA acquired Feyen Zylstra for $109.8 million and Meisner for $74.9 million in October 2025 to expand electrical services in industrial, technology, healthcare, and government sectors.","On October 1, 2025, we acquired... Feyen Zylstra... for $109.8 million... Meisner... for $74.9 million... primarily to the healthcare, commercial and government sectors",False,quote_not_found,item_7_mdna,0001104659-26-017530,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/fix-20251231x10k.htm,evidence_failed,,
FIX,Comfort Systems USA Inc.,liquidity_and_balance_sheet,Strong operating cash flow and available credit facility,current_fact,4,"Operating cash flow increased to $1.19 billion in 2025, and the company had $921.0 million of credit available on its revolving facility as of December 31, 2025.","We generated $1.19 billion of net cash flow from operating activities during 2025... As of December 31, 2025, we had... $921.0 million of credit available.",False,quote_not_found,item_7_mdna,0001104659-26-017530,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/fix-20251231x10k.htm,evidence_failed,,
FLNC,Fluence Energy Inc.,demand_and_revenue,Revenue declined 16.1% year-over-year in FY2025,current_fact,4,"Total revenue decreased to $2.26 billion in FY2025 from $2.70 billion in FY2024, reflecting a 16.1% decline.","Total revenue $2,262,830 (2025) vs $2,698,562 (2024), Change (435,732), Change % (16.1)%",False,quote_not_found,item_7_mdna,0001868941-25-000081,https://www.sec.gov/Archives/edgar/data/1868941/000186894125000081/flnc-20250930.htm,evidence_failed,,
GEV,GE Vernova Inc.,capacity_and_supply,"Workhorse products account for 75% of equipment RPO, indicating product simplification",current_fact,4,"The company simplified its portfolio to focus on fewer, more reliable workhorse products, which now account for approximately 75% of equipment RPO as of December 31, 2025.","As we focus on providing carbon-free electricity reliably and at scale, we have simplified our segment management structure and portfolio of product offerings, focusing on fewer and more reliable workhorse products. Our workhorse products account for approximately 75% of our equipment RPO at December 31, 2025.",False,quote_not_found,item_1_business,0001996810-26-000015,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000015/gev-20251231.htm,evidence_failed,,
GEV,GE Vernova Inc.,liquidity_and_balance_sheet,Strong liquidity position with $8.8 billion cash and minimal debt,current_fact,4,"As of December 31, 2025, the company held $8.8 billion in cash, cash equivalents, and restricted cash, with total debt excluding finance leases less than $0.1 billion.","As of December 31, 2025, our Cash, cash equivalents, and restricted cash was $8.8 billion... Total debt, excluding finance leases, was less than $0.1 billion and $0.1 billion as of December 31, 2025 and December 31, 2024, respectively.",False,quote_not_found,item_7_mdna,0001996810-26-000015,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000015/gev-20251231.htm,evidence_failed,,
GS,Goldman Sachs Group Inc.,regulatory_or_geopolitical,Resolution strategy risks to security holders,risk_hypothetical,4,"If the proposed resolution strategy fails, security holders may be in a worse position; bail-in powers in the U.K. and E.U. could write down unsecured debt.","If Group Inc.’s proposed resolution strategy were not successful, Group Inc.’s financial condition would be adversely impacted and Group Inc.’s security holders... may as a consequence be in a worse position... Such “bail-in” powers are intended to enable the recapitalization of a failing institution by allocating losses to its shareholders and unsecured debtholders.",False,quote_not_found,item_1a_risk_factors,0000886982-26-000091,https://www.sec.gov/Archives/edgar/data/886982/000088698226000091/gs-20251231.htm,evidence_failed,,
HPE,Hewlett Packard Enterprise Company,capital_allocation,HPE funds Juniper acquisition via debt and balance sheet cash,current_fact,4,"HPE funded the $13.4 billion Juniper acquisition using cash, commercial paper, and drawn term loans, with $2.0 billion outstanding against a three-year delayed-draw facility as of Oct 31, 2025.","HPE funded the aggregate consideration... through a combination of cash... commercial paper issuances, and borrowings... As of October 31, 2025, $2.0 billion was outstanding against the three-year delayed-draw term loan credit facility.",False,quote_not_found,item_7_mdna,0001645590-25-000130,https://www.sec.gov/Archives/edgar/data/1645590/000164559025000130/hpe-20251031.htm,evidence_failed,,
LITE,Lumentum Holdings Inc.,customer_concentration,Customer concentration risk with Customer A and B exceeding 10% revenue,current_fact,4,"Customer A represented 16.0% and Customer B represented 15.4% of total net revenue in fiscal year 2025, indicating significant reliance on a small number of customers without long-term purchase commitments.",Customer A 16.0% ... Customer B 15.4% ... We have consistently relied on a small number of customers for a significant portion of our sales.,False,quote_not_found,item_7_mdna,0001628280-25-040830,https://www.sec.gov/Archives/edgar/data/1633978/000162828025040830/lite-20250628.htm,evidence_failed,,
LLY,Eli Lilly and Company,capacity_and_supply,Significant capital expenditures and contract manufacturing commitments disclosed,current_fact,4,"Capital expenditures rose to $7.8 billion in 2025, with executed agreements potentially requiring up to $10 billion in payments if specified goods/services are not purchased over durations up to 8 years.",Capital expenditures were $7.8 billion during 2025... Executed agreements... could... require us to pay up to approximately $10 billion if we do not purchase specified amounts,False,quote_not_found,item_7_mdna,0000059478-26-000013,https://www.sec.gov/Archives/edgar/data/59478/000005947826000013/lly-20251231.htm,evidence_failed,,
LLY,Eli Lilly and Company,supplier_or_infrastructure_dependency,Reliance on China-based suppliers for supply chain components,current_fact,4,"The company depends on China-based suppliers for portions of its supply chain, including integral chemical synthesis, reagents, starting materials, and ingredients.","Among other third-party providers, we... depend on China-based suppliers for portions of our supply chain, including integral chemical synthesis, reagents, starting materials, and ingredients.",False,quote_not_found,item_1a_risk_factors,0000059478-26-000013,https://www.sec.gov/Archives/edgar/data/59478/000005947826000013/lly-20251231.htm,evidence_failed,,
META,Meta Platforms Inc.,supplier_or_infrastructure_dependency,Meta holds $131B in contractual commitments for cloud and infrastructure,current_fact,4,"As of December 31, 2025, Meta had $131.05 billion in non-cancelable contractual commitments, mostly for third-party cloud capacity and infrastructure investments.","We also have $131.05 billion of contractual commitments as of December 31, 2025, mostly related to third-party cloud capacity arrangements and our continued investments in servers and network infrastructure.",False,quote_not_found,item_7_mdna,0001628280-26-003942,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,evidence_failed,,
META,Meta Platforms Inc.,regulatory_or_geopolitical,AI regulatory uncertainty poses development and compliance risks,risk_hypothetical,4,"Meta faces risks from evolving AI legal frameworks, potential patent restrictions, and data availability constraints for model training.",We may not always be able to anticipate how courts and regulators will apply existing laws to AI... Our AI initiatives also depend on our access to data... subject to risks related to the availability or costs of data.,False,quote_not_found,item_1a_risk_factors,0001628280-26-003942,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,evidence_failed,,
MPWR,Monolithic Power Systems Inc.,supplier_or_infrastructure_dependency,Reliance on third-party suppliers for wafers and components,risk_hypothetical,4,"Company depends on third-party suppliers for wafers and key components, with risks of insolvency or capacity constraints.","We currently depend on third-party suppliers to provide us with wafers and other key components for our products. If any of our suppliers are acquired, become insolvent or capacity constrained... our revenue and gross margin may decline.",False,quote_not_found,item_1_business,0001437749-26-006113,https://www.sec.gov/Archives/edgar/data/1280452/000143774926006113/mpwr20251231_10k.htm,evidence_failed,,
MPWR,Monolithic Power Systems Inc.,regulatory_or_geopolitical,Export controls and sanctions restrict transactions and sales,risk_hypothetical,4,"U.S. export laws and sanctions may restrict product exports and customer dealings, potentially driving customers to competitors.","U.S. laws and regulations and sanctions... may also encourage our customers to develop their own solutions to replace our products, or seek to obtain a greater supply... from our competitors.",False,quote_not_found,item_1_business,0001437749-26-006113,https://www.sec.gov/Archives/edgar/data/1280452/000143774926006113/mpwr20251231_10k.htm,evidence_failed,,
MPWR,Monolithic Power Systems Inc.,capacity_and_supply,Manufacturing capacity constraints could harm revenue and customer retention,risk_hypothetical,4,"Inability to increase manufacturing capacity may prevent meeting demand, harming revenue and causing customer loss to competitors.","If we are unable to increase or maintain our manufacturing capacity, we may be unable to meet demand, which would harm our revenue and results of operations and may result in a loss of customers.",False,quote_not_found,item_1_business,0001437749-26-006113,https://www.sec.gov/Archives/edgar/data/1280452/000143774926006113/mpwr20251231_10k.htm,evidence_failed,,
MPWR,Monolithic Power Systems Inc.,supplier_or_infrastructure_dependency,Geographic concentration of suppliers in seismically active Asia,risk_hypothetical,4,"Third-party wafer suppliers and assembly facilities are concentrated in Asia, near seismically active regions.","Much of our revenue, as well as our manufacturing and assembly partners, are concentrated in Asia, particularly in China. Such concentration increases the risk that earthquakes... could disrupt our operations.",False,quote_not_found,item_7_mdna,0001437749-26-006113,https://www.sec.gov/Archives/edgar/data/1280452/000143774926006113/mpwr20251231_10k.htm,evidence_failed,,
MRVL,Marvell Technology Inc.,partnership_or_mna,Marvell acquires Celestial AI for next-gen AI interconnect,current_fact,4,"Marvell completed the acquisition of Celestial AI, a provider of Photonic Fabric technology, to accelerate connectivity for next-generation AI and cloud data centers.","On February 2, 2026, we completed the previously announced acquisition of Celestial AI, Inc. (“Celestial”), a provider of a Photonic Fabric technology platform purpose-built for next-generation scale-up interconnect.",False,quote_not_found,item_1_business,0001835632-26-000011,https://www.sec.gov/Archives/edgar/data/1835632/000183563226000011/mrvl-20260131.htm,evidence_failed,,
MU,Micron Technology Inc.,technology_and_product,HBM3E 12-high dominates shipments; HBM4 on schedule for 2026,current_fact,4,"HBM3E 12-high represented the majority of HBM shipments in Q4 2025, with HBM4 technology advancing on schedule for volume production in calendar 2026.","In the fourth quarter of 2025, HBM3E 12-high represented the majority of our HBM shipments. This enhanced version of HBM delivers faster data rates, improved thermal response, and a higher monolithic die density... Our HBM4 technology is advancing and remains on schedule for volume production in calendar 2026.",False,quote_not_found,item_1_business,0000723125-25-000028,https://www.sec.gov/Archives/edgar/data/723125/000072312525000028/mu-20250828.htm,evidence_failed,,
NOC,Northrop Grumman Corporation,technology_and_product,Restricted programs drive significant new business,current_fact,4,"Restricted programs accounted for $14.8 billion of 2025 new awards, highlighting strong demand for advanced aerospace and defense technologies.","Significant 2025 new awards include $14.8 billion for restricted programs (primarily at Aeronautics Systems, Space Systems, and Mission Systems).",False,quote_not_found,item_7_mdna,0001133421-26-000003,https://www.sec.gov/Archives/edgar/data/1133421/000113342126000003/noc-20251231.htm,evidence_failed,,
NOW,ServiceNow Inc.,pricing_and_margin,Subscription gross margin compression due to infrastructure and headcount costs,historical_fact,4,"Subscription gross profit percentage declined from 82% to 80% in 2025, driven by $627M increase in costs from headcount and data center expansion.",Subscription gross profit percentage: 80% (2025) vs 82% (2024). Cost of subscription revenues increased by $627 million... primarily due to increased headcount and increased costs to support the growth of our subscription offerings.,False,quote_not_found,item_7_mdna,0001373715-26-000007,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/now-20251231.htm,evidence_failed,,
NTAP,NetApp Inc.,supplier_or_infrastructure_dependency,Reliance on limited suppliers and key contract manufacturers,current_fact,4,The company relies on a limited number of suppliers for critical product components and a few key contract manufacturers to manufacture most products.,We rely on a limited number of suppliers for certain key components and a few key contract manufacturers to manufacture most of our products.,False,quote_not_found,item_1a_risk_factors,0001193125-26-259683,https://www.sec.gov/Archives/edgar/data/1002047/000119312526259683/ntap-20260424.htm,evidence_failed,,
ON,ON Semiconductor Corporation,technology_and_product,PSG positioned to benefit from AI data center power tree demand,forward_looking,4,"Power Systems Group (PSG) offers a comprehensive portfolio for AI data center power trees, leveraging vertically integrated SiC manufacturing to enhance supply assurance and cost competitiveness.","We believe we have one of the most comprehensive portfolios of products and technologies for this market to address the complete power tree, and we are well positioned to benefit as new generation of AI data center processors and racks enter the market.",False,quote_not_found,item_1_business,0001097864-26-000006,https://www.sec.gov/Archives/edgar/data/1097864/000109786426000006/on-20251231.htm,evidence_failed,,
PWR,Quanta Services Inc.,demand_and_revenue,Data center and AI drive technology revenue growth,current_fact,4,"Technology, Manufacturing and Communications segment revenue share increased to 13% in 2025 from 6% in 2023, driven by data center and AI infrastructure demand.","Technology, Manufacturing and Communications... 13%... 9%... 6%... Total revenues 100%... 100%... 100%",False,quote_not_found,item_1_business,0001050915-26-000006,https://www.sec.gov/Archives/edgar/data/1050915/000105091526000006/pwr-20251231.htm,evidence_failed,,
RTX,RTX Corporation,pricing_and_margin,Estimate adjustments negatively impacted 2025 operating results,historical_fact,4,Net EAC (Estimate at Completion) adjustments reduced 2025 operating profit by $386 million and diluted EPS by $0.22.,Net EAC adjustments had the following impact on our operating results: Operating profit (386)... Diluted earnings per share attributable to common shareowners (1) $ (0.22),False,quote_not_found,item_7_mdna,0000101829-26-000006,https://www.sec.gov/Archives/edgar/data/101829/000010182926000006/rtx-20251231.htm,evidence_failed,,
AAOI,Applied Optoelectronics Inc.,demand_and_revenue,82.8% revenue growth driven by AI data center demand,historical_fact,5,"Revenue increased 82.8% in 2025, primarily due to demand for data center products for new construction and AI upgrades.","In 2025, our increase of revenue of 82.8% over the prior-year was driven primarily by increased demands both for our CATV products and internet data center products... arising from demand for products necessary for new data center construction along with data center upgrades to enable new technologies like AI.",True,,item_7_mdna,0001437749-26-005875,https://www.sec.gov/Archives/edgar/data/1158114/000143774926005875/aaoi20251231_10k.htm,evidence_valid,,
AAOI,Applied Optoelectronics Inc.,customer_concentration,Extreme customer concentration with Digicomm and Microsoft,current_fact,5,Two customers accounted for 81.9% of 2025 revenue: Digicomm (53.1%) and Microsoft (28.8%).,"In 2025, Digicomm represented 53.1% of our revenue and Microsoft represented 28.8% of our revenue. As a result, the loss of, or a significant reduction in orders from any of our key customers would materially and adversely affect our revenue and results of operations.",True,,item_1a_risk_factors,0001437749-26-005875,https://www.sec.gov/Archives/edgar/data/1158114/000143774926005875/aaoi20251231_10k.htm,evidence_valid,,
AAPL,Apple Inc.,regulatory_or_geopolitical,New U.S. tariffs imposed on imports from key manufacturing hubs,current_fact,5,"New U.S. tariffs were announced in Q2 2025 on imports from China, India, Japan, South Korea, Taiwan, Vietnam, and the EU, with potential for further sector-based measures.","Beginning in the second quarter of 2025, new U.S. Tariffs were announced, including additional tariffs on imports from China, India, Japan, South Korea, Taiwan, Vietnam and the EU, among others.",True,,item_7_mdna,0000320193-25-000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,evidence_valid,,
ADI,Analog Devices Inc.,supplier_or_infrastructure_dependency,TSMC geopolitical risk exposes manufacturing vulnerability,risk_hypothetical,5,"ADI sources over half of wafer requirements from TSMC, with explicit risk that Taiwan Strait tensions could disrupt operations.","We currently source more than half of our wafer requirements annually from third-party wafer foundries, including Taiwan Semiconductor Manufacturing Company (TSMC)... tensions across the Taiwan Strait... could disrupt TSMC’s operations",True,,item_1a_risk_factors,0000006281-25-000153,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,evidence_valid,,
AEP,American Electric Power Company Inc.,demand_and_revenue,Data center load drives significant retail revenue growth,current_fact,5,"AEP reported a $601 million increase in base rate and rider revenues in 2025, primarily driven by new data processing loads coming online in the commercial customer class.",Retail Revenues increased $956 million primarily due to a $601 million increase in base rate and rider revenues.,True,,item_7_mdna,0000004904-26-000013,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,evidence_valid,,
